AOI,RCA,StreamOrder,Model,Period,gsdd,mean_ann,min_ann,max_ann,mean_apr,mean_may,mean_jun,mean_jul,mean_aug,mean_sep,mean_oct
Fairbanks Soil & Water Conservation District,3708,6,ccsm,1,1623.24,7.25,0.98,19.38,2.61,6.53,12.63,13.39,8.48,5.52,2.73
Fairbanks Soil & Water Conservation District,3708,6,ccsm,2,1757.88,7.85,0.89,19.81,2.54,7.44,13.81,14.35,9.44,5.96,2.91
Fairbanks Soil & Water Conservation District,3708,6,gfdl,0,1531.64,6.88,0.99,15.51,2.59,6.39,11.35,12.64,8.47,5.28,2.68
Fairbanks Soil & Water Conservation District,3708,6,gfdl,1,1609.12,7.18,0.99,15.62,2.52,6.99,12.35,12.91,8.58,5.68,2.71
Fairbanks Soil & Water Conservation District,3708,6,gfdl,2,1770.13,7.9,0.85,19.11,2.49,8.33,13.37,14.4,9.12,6.07,3.07
Fairbanks Soil & Water Conservation District,3712,5,ccsm,0,1041.34,4.73,0.0,12.11,0.4,3.85,8.17,9.87,6.94,3.8,1.17
Fairbanks Soil & Water Conservation District,3712,5,ccsm,1,1128.07,5.04,0.0,15.42,0.38,3.99,8.99,10.38,7.02,4.15,1.26
Fairbanks Soil & Water Conservation District,3712,5,ccsm,2,1259.99,5.62,0.0,17.21,0.41,4.79,10.28,11.38,7.78,4.55,1.42
Fairbanks Soil & Water Conservation District,3712,5,gfdl,0,1041.34,4.73,0.0,12.11,0.4,3.85,8.17,9.87,6.94,3.8,1.17
Fairbanks Soil & Water Conservation District,3712,5,gfdl,1,1130.51,5.05,0.0,11.7,0.35,4.41,9.19,10.17,7.0,4.18,1.16
Fairbanks Soil & Water Conservation District,3712,5,gfdl,2,1246.9,5.57,0.0,13.96,0.45,5.62,9.79,11.09,7.35,4.41,1.46
Fairbanks Soil & Water Conservation District,3718,6,ccsm,0,1124.8,5.07,0.0,12.89,0.62,4.18,8.77,10.4,7.17,4.01,1.44
Fairbanks Soil & Water Conservation District,3718,6,ccsm,1,1207.47,5.39,0.0,16.25,0.56,4.33,9.72,10.98,7.23,4.35,1.53
Fairbanks Soil & Water Conservation District,3718,6,ccsm,2,1345.0,6.0,0.0,16.98,0.55,5.14,11.14,12.0,8.08,4.78,1.67
Fairbanks Soil & Water Conservation District,3718,6,gfdl,0,1124.8,5.07,0.0,12.89,0.62,4.18,8.77,10.4,7.17,4.01,1.44
Fairbanks Soil & Water Conservation District,3718,6,gfdl,1,1195.46,5.34,0.0,12.24,0.58,4.74,9.61,10.59,7.24,4.4,1.43
Fairbanks Soil & Water Conservation District,3718,6,gfdl,2,1325.82,5.92,0.0,14.7,0.6,5.95,10.4,11.67,7.64,4.68,1.78
Fairbanks Soil & Water Conservation District,3722,5,ccsm,0,1397.94,6.33,0.32,14.57,1.97,5.78,10.5,11.81,8.19,4.92,2.3
Fairbanks Soil & Water Conservation District,3722,5,ccsm,1,1479.67,6.61,0.25,17.75,1.95,5.89,11.55,12.35,8.12,5.24,2.36
Fairbanks Soil & Water Conservation District,3722,5,ccsm,2,1609.64,7.19,0.22,18.09,1.92,6.74,12.76,13.29,9.03,5.65,2.49
Fairbanks Soil & Water Conservation District,3722,5,gfdl,0,1397.94,6.33,0.32,14.57,1.97,5.78,10.5,11.81,8.19,4.92,2.3
Fairbanks Soil & Water Conservation District,3722,5,gfdl,1,1476.18,6.59,0.23,14.61,1.93,6.25,11.41,12.13,8.25,5.36,2.33
Fairbanks Soil & Water Conservation District,3722,5,gfdl,2,1612.57,7.2,0.21,16.84,1.97,7.45,12.29,13.34,8.65,5.66,2.63
Fairbanks Soil & Water Conservation District,3729,5,ccsm,0,1099.92,4.97,0.0,12.69,0.48,4.0,8.63,10.29,7.05,3.88,1.31
Fairbanks Soil & Water Conservation District,3729,5,ccsm,1,1179.71,5.27,0.0,16.19,0.42,4.18,9.61,10.88,7.09,4.22,1.38
Fairbanks Soil & Water Conservation District,3729,5,ccsm,2,1315.07,5.87,0.0,16.73,0.41,4.96,10.98,11.88,7.96,4.65,1.53
Fairbanks Soil & Water Conservation District,3729,5,gfdl,0,1099.92,4.97,0.0,12.69,0.48,4.0,8.63,10.29,7.05,3.88,1.31
Fairbanks Soil & Water Conservation District,3729,5,gfdl,1,1170.98,5.23,0.0,12.18,0.47,4.58,9.51,10.53,7.09,4.31,1.3
Fairbanks Soil & Water Conservation District,3729,5,gfdl,2,1294.01,5.78,0.0,14.63,0.5,5.75,10.18,11.55,7.5,4.57,1.63
Fairbanks Soil & Water Conservation District,3730,5,ccsm,0,1109.18,5.03,0.0,12.68,0.52,4.07,8.66,10.3,7.09,3.94,1.38
Fairbanks Soil & Water Conservation District,3730,5,ccsm,1,1187.8,5.3,0.0,15.88,0.47,4.26,9.6,10.86,7.15,4.28,1.44
Fairbanks Soil & Water Conservation District,3730,5,ccsm,2,1321.74,5.9,0.0,16.48,0.46,5.05,10.97,11.83,7.99,4.72,1.59
Fairbanks Soil & Water Conservation District,3730,5,gfdl,0,1109.18,5.03,0.0,12.68,0.52,4.07,8.66,10.3,7.09,3.94,1.38
Fairbanks Soil & Water Conservation District,3730,5,gfdl,1,1177.92,5.26,0.0,12.14,0.5,4.63,9.51,10.54,7.14,4.37,1.35
Fairbanks Soil & Water Conservation District,3730,5,gfdl,2,1302.94,5.82,0.0,14.61,0.55,5.79,10.21,11.57,7.54,4.64,1.69
Fairbanks Soil & Water Conservation District,3743,5,ccsm,0,1060.24,4.78,0.0,12.4,0.36,3.76,8.35,10.07,6.9,3.73,1.16
Fairbanks Soil & Water Conservation District,3743,5,ccsm,1,1137.92,5.08,0.0,15.75,0.3,3.93,9.31,10.64,6.95,4.07,1.22
Fairbanks Soil & Water Conservation District,3743,5,ccsm,2,1273.44,5.69,0.0,16.35,0.32,4.71,10.67,11.62,7.8,4.5,1.37
Fairbanks Soil & Water Conservation District,3743,5,gfdl,0,1060.24,4.78,0.0,12.4,0.36,3.76,8.35,10.07,6.9,3.73,1.16
Fairbanks Soil & Water Conservation District,3743,5,gfdl,1,1129.29,5.04,0.0,11.88,0.34,4.31,9.21,10.32,6.94,4.15,1.14
Fairbanks Soil & Water Conservation District,3743,5,gfdl,2,1253.08,5.59,0.0,14.37,0.37,5.49,9.9,11.35,7.34,4.41,1.48
Fairbanks Soil & Water Conservation District,3745,6,ccsm,0,1064.91,4.81,0.0,12.33,0.4,3.8,8.36,10.04,6.9,3.76,1.22
Fairbanks Soil & Water Conservation District,3745,6,ccsm,1,1142.91,5.1,0.0,15.64,0.33,3.96,9.3,10.62,6.98,4.11,1.28
Fairbanks Soil & Water Conservation District,3745,6,ccsm,2,1277.04,5.7,0.0,16.33,0.35,4.74,10.67,11.59,7.81,4.54,1.43
Fairbanks Soil & Water Conservation District,3745,6,gfdl,0,1064.91,4.81,0.0,12.33,0.4,3.8,8.36,10.04,6.9,3.76,1.22
Fairbanks Soil & Water Conservation District,3745,6,gfdl,1,1134.99,5.07,0.0,11.87,0.36,4.38,9.23,10.27,6.99,4.18,1.19
Fairbanks Soil & Water Conservation District,3745,6,gfdl,2,1257.25,5.61,0.0,14.28,0.41,5.55,9.92,11.28,7.37,4.43,1.54
Fairbanks Soil & Water Conservation District,3765,5,ccsm,0,951.84,4.28,0.0,11.6,0.12,3.08,7.56,9.44,6.47,3.3,0.77
Fairbanks Soil & Water Conservation District,3765,5,ccsm,1,1025.89,4.58,0.0,14.85,0.09,3.23,8.45,9.99,6.51,3.64,0.88
Fairbanks Soil & Water Conservation District,3765,5,ccsm,2,1159.28,5.18,0.0,15.49,0.12,3.97,9.84,10.98,7.33,4.06,0.98
Fairbanks Soil & Water Conservation District,3765,5,gfdl,0,951.84,4.28,0.0,11.6,0.12,3.08,7.56,9.44,6.47,3.3,0.77
Fairbanks Soil & Water Conservation District,3765,5,gfdl,1,1021.84,4.56,0.0,11.13,0.12,3.65,8.41,9.72,6.48,3.7,0.81
Fairbanks Soil & Water Conservation District,3765,5,gfdl,2,1139.3,5.09,0.0,13.5,0.17,4.8,9.05,10.67,6.87,3.96,1.1
Fairbanks Soil & Water Conservation District,3782,5,ccsm,0,1046.05,4.74,0.0,12.15,0.41,3.85,8.17,9.87,6.94,3.81,1.18
Fairbanks Soil & Water Conservation District,3782,5,ccsm,1,1128.37,5.04,0.0,15.48,0.39,3.99,8.99,10.38,7.02,4.15,1.27
Fairbanks Soil & Water Conservation District,3782,5,ccsm,2,1260.85,5.63,0.0,17.15,0.41,4.78,10.27,11.41,7.79,4.56,1.43
Fairbanks Soil & Water Conservation District,3782,5,gfdl,0,1046.05,4.74,0.0,12.15,0.41,3.85,8.17,9.87,6.94,3.81,1.18
Fairbanks Soil & Water Conservation District,3782,5,gfdl,1,1131.76,5.05,0.0,11.72,0.37,4.43,9.2,10.15,7.01,4.18,1.17
Fairbanks Soil & Water Conservation District,3782,5,gfdl,2,1245.4,5.56,0.0,13.89,0.46,5.6,9.77,11.05,7.36,4.41,1.46
Fairbanks Soil & Water Conservation District,3796,6,ccsm,0,1100.71,5.1,0.0,12.62,0.68,4.24,8.53,10.25,7.23,4.06,1.51
Fairbanks Soil & Water Conservation District,3796,6,ccsm,1,1191.19,5.32,0.0,15.5,0.61,4.33,9.23,10.8,7.27,4.41,1.58
Fairbanks Soil & Water Conservation District,3796,6,ccsm,2,1318.25,5.89,0.0,16.37,0.59,5.09,10.55,11.68,8.06,4.85,1.72
Fairbanks Soil & Water Conservation District,3796,6,gfdl,0,1100.71,5.1,0.0,12.62,0.68,4.24,8.53,10.25,7.23,4.06,1.51
Fairbanks Soil & Water Conservation District,3796,6,gfdl,1,1192.44,5.32,0.0,12.06,0.66,4.78,9.4,10.54,7.24,4.45,1.47
Fairbanks Soil & Water Conservation District,3796,6,gfdl,2,1301.63,5.81,0.0,14.29,0.67,5.82,9.96,11.47,7.6,4.68,1.78
Fairbanks Soil & Water Conservation District,3798,5,ccsm,0,1274.15,5.8,0.0,13.79,1.4,5.18,9.83,11.31,7.79,4.6,1.95
Fairbanks Soil & Water Conservation District,3798,5,ccsm,1,1367.28,6.1,0.0,16.81,1.38,5.28,10.85,11.78,7.73,4.89,2.01
Fairbanks Soil & Water Conservation District,3798,5,ccsm,2,1493.98,6.67,0.0,17.31,1.36,6.1,12.03,12.69,8.63,5.28,2.14
Fairbanks Soil & Water Conservation District,3798,5,gfdl,0,1274.15,5.8,0.0,13.79,1.4,5.18,9.83,11.31,7.79,4.6,1.95
Fairbanks Soil & Water Conservation District,3798,5,gfdl,1,1364.95,6.09,0.0,13.87,1.36,5.65,10.74,11.54,7.87,5.01,1.98
Fairbanks Soil & Water Conservation District,3798,5,gfdl,2,1497.98,6.69,0.0,16.05,1.4,6.82,11.56,12.72,8.24,5.3,2.28
Fairbanks Soil & Water Conservation District,3801,5,ccsm,0,1336.4,6.02,0.0,14.41,1.54,5.36,10.19,11.58,7.92,4.69,2.08
Fairbanks Soil & Water Conservation District,3801,5,ccsm,1,1412.74,6.31,0.0,17.8,1.49,5.48,11.27,12.08,7.9,5.0,2.13
Fairbanks Soil & Water Conservation District,3801,5,ccsm,2,1549.65,6.92,0.0,18.06,1.46,6.35,12.57,13.09,8.81,5.43,2.26
Fairbanks Soil & Water Conservation District,3801,5,gfdl,0,1336.4,6.02,0.0,14.41,1.54,5.36,10.19,11.58,7.92,4.69,2.08
Fairbanks Soil & Water Conservation District,3801,5,gfdl,1,1411.09,6.3,0.0,14.36,1.48,5.88,11.15,11.89,8.01,5.1,2.09
Fairbanks Soil & Water Conservation District,3801,5,gfdl,2,1553.25,6.93,0.0,16.58,1.52,7.11,12.11,13.12,8.43,5.4,2.39
Fairbanks Soil & Water Conservation District,3806,5,ccsm,0,1036.51,4.66,0.0,12.17,0.32,3.63,8.13,9.92,6.85,3.64,1.04
Fairbanks Soil & Water Conservation District,3806,5,ccsm,1,1109.82,4.95,0.0,15.44,0.26,3.78,8.99,10.46,6.89,3.99,1.13
Fairbanks Soil & Water Conservation District,3806,5,ccsm,2,1249.13,5.58,0.0,17.57,0.29,4.54,10.51,11.49,7.7,4.42,1.26
Fairbanks Soil & Water Conservation District,3806,5,gfdl,0,1036.51,4.66,0.0,12.17,0.32,3.63,8.13,9.92,6.85,3.64,1.04
Fairbanks Soil & Water Conservation District,3806,5,gfdl,1,1108.48,4.95,0.0,11.8,0.31,4.24,8.97,10.23,6.85,4.06,1.08
Fairbanks Soil & Water Conservation District,3806,5,gfdl,2,1224.16,5.46,0.0,14.1,0.35,5.37,9.59,11.16,7.23,4.32,1.39
Fairbanks Soil & Water Conservation District,3809,6,ccsm,0,939.03,4.21,0.0,11.28,0.12,3.02,7.37,9.24,6.38,3.29,0.77
Fairbanks Soil & Water Conservation District,3809,6,ccsm,1,1007.62,4.5,0.0,14.5,0.08,3.14,8.18,9.81,6.49,3.63,0.89
Fairbanks Soil & Water Conservation District,3809,6,ccsm,2,1136.71,5.07,0.0,15.26,0.12,3.91,9.46,10.74,7.28,4.06,1.0
Fairbanks Soil & Water Conservation District,3809,6,gfdl,0,939.03,4.21,0.0,11.28,0.12,3.02,7.37,9.24,6.38,3.29,0.77
Fairbanks Soil & Water Conservation District,3809,6,gfdl,1,1006.38,4.49,0.0,10.65,0.12,3.65,8.22,9.51,6.44,3.65,0.8
Fairbanks Soil & Water Conservation District,3809,6,gfdl,2,1115.95,4.98,0.0,13.01,0.19,4.78,8.76,10.41,6.82,3.87,1.06
Fairbanks Soil & Water Conservation District,3814,5,ccsm,0,1260.24,5.72,0.0,13.93,1.22,5.02,9.79,11.26,7.71,4.49,1.86
Fairbanks Soil & Water Conservation District,3814,5,ccsm,1,1348.0,6.02,0.0,17.2,1.19,5.14,10.84,11.76,7.66,4.8,1.92
Fairbanks Soil & Water Conservation District,3814,5,ccsm,2,1481.91,6.62,0.0,17.53,1.17,5.99,12.1,12.74,8.57,5.21,2.04
Fairbanks Soil & Water Conservation District,3814,5,gfdl,0,1260.24,5.72,0.0,13.93,1.22,5.02,9.79,11.26,7.71,4.49,1.86
Fairbanks Soil & Water Conservation District,3814,5,gfdl,1,1347.39,6.02,0.0,13.96,1.17,5.53,10.74,11.55,7.78,4.91,1.87
Fairbanks Soil & Water Conservation District,3814,5,gfdl,2,1486.88,6.64,0.0,16.19,1.21,6.74,11.65,12.78,8.18,5.21,2.18
Fairbanks Soil & Water Conservation District,3816,5,ccsm,0,897.59,4.05,0.0,11.23,0.07,2.76,7.21,9.16,6.27,3.1,0.61
Fairbanks Soil & Water Conservation District,3816,5,ccsm,1,975.9,4.36,0.0,14.42,0.03,2.89,8.06,9.71,6.33,3.44,0.72
Fairbanks Soil & Water Conservation District,3816,5,ccsm,2,1113.97,4.97,0.0,17.93,0.06,3.65,9.58,10.71,7.13,3.87,0.81
Fairbanks Soil & Water Conservation District,3816,5,gfdl,0,897.59,4.05,0.0,11.23,0.07,2.76,7.21,9.16,6.27,3.1,0.61
Fairbanks Soil & Water Conservation District,3816,5,gfdl,1,976.01,4.36,0.0,10.84,0.06,3.36,8.05,9.47,6.28,3.5,0.66
Fairbanks Soil & Water Conservation District,3816,5,gfdl,2,1088.52,4.86,0.0,13.14,0.11,4.48,8.66,10.38,6.66,3.76,0.93
Fairbanks Soil & Water Conservation District,3820,5,ccsm,0,983.47,4.43,0.0,11.79,0.21,3.3,7.75,9.59,6.62,3.47,0.91
Fairbanks Soil & Water Conservation District,3820,5,ccsm,1,1056.58,4.72,0.0,15.15,0.15,3.45,8.56,10.13,6.66,3.79,1.04
Fairbanks Soil & Water Conservation District,3820,5,ccsm,2,1190.9,5.32,0.0,16.58,0.19,4.13,9.99,11.15,7.49,4.23,1.14
Fairbanks Soil & Water Conservation District,3820,5,gfdl,0,983.47,4.43,0.0,11.79,0.21,3.3,7.75,9.59,6.62,3.47,0.91
Fairbanks Soil & Water Conservation District,3820,5,gfdl,1,1055.94,4.71,0.0,11.37,0.2,3.91,8.55,9.89,6.64,3.87,0.95
Fairbanks Soil & Water Conservation District,3820,5,gfdl,2,1167.8,5.21,0.0,13.62,0.25,5.04,9.15,10.75,7.04,4.09,1.24
Fairbanks Soil & Water Conservation District,3826,5,ccsm,0,1381.03,6.26,0.26,14.49,1.9,5.69,10.43,11.8,8.12,4.92,2.3
Fairbanks Soil & Water Conservation District,3826,5,ccsm,1,1467.52,6.55,0.18,17.69,1.86,5.81,11.48,12.23,8.1,5.23,2.35
Fairbanks Soil & Water Conservation District,3826,5,ccsm,2,1600.83,7.15,0.15,18.09,1.83,6.66,12.75,13.23,9.0,5.65,2.49
Fairbanks Soil & Water Conservation District,3826,5,gfdl,0,1381.03,6.26,0.26,14.49,1.9,5.69,10.43,11.8,8.12,4.92,2.3
Fairbanks Soil & Water Conservation District,3826,5,gfdl,1,1467.77,6.55,0.2,14.56,1.85,6.23,11.39,12.06,8.21,5.33,2.31
Fairbanks Soil & Water Conservation District,3826,5,gfdl,2,1601.46,7.15,0.14,16.62,1.88,7.43,12.26,13.22,8.6,5.63,2.62
Fairbanks Soil & Water Conservation District,3832,5,ccsm,0,859.07,3.87,0.0,10.86,0.04,2.48,6.84,8.85,6.06,2.94,0.56
Fairbanks Soil & Water Conservation District,3832,5,ccsm,1,931.54,4.16,0.0,14.22,0.01,2.61,7.67,9.38,6.11,3.26,0.69
Fairbanks Soil & Water Conservation District,3832,5,ccsm,2,1062.74,4.74,0.0,16.5,0.02,3.26,9.05,10.42,6.93,3.69,0.77
Fairbanks Soil & Water Conservation District,3832,5,gfdl,0,859.07,3.87,0.0,10.86,0.04,2.48,6.84,8.85,6.06,2.94,0.56
Fairbanks Soil & Water Conservation District,3832,5,gfdl,1,931.4,4.16,0.0,10.38,0.05,3.08,7.67,9.14,6.07,3.33,0.6
Fairbanks Soil & Water Conservation District,3832,5,gfdl,2,1039.53,4.64,0.0,12.73,0.08,4.21,8.25,9.99,6.47,3.54,0.85
Fairbanks Soil & Water Conservation District,3839,5,ccsm,0,917.01,4.13,0.0,11.4,0.07,2.83,7.35,9.27,6.39,3.14,0.65
Fairbanks Soil & Water Conservation District,3839,5,ccsm,1,993.18,4.43,0.0,14.79,0.03,2.99,8.23,9.83,6.39,3.49,0.76
Fairbanks Soil & Water Conservation District,3839,5,ccsm,2,1131.74,5.05,0.0,15.42,0.06,3.74,9.7,10.88,7.21,3.92,0.86
Fairbanks Soil & Water Conservation District,3839,5,gfdl,0,917.01,4.13,0.0,11.4,0.07,2.83,7.35,9.27,6.39,3.14,0.65
Fairbanks Soil & Water Conservation District,3839,5,gfdl,1,991.76,4.43,0.0,11.06,0.06,3.47,8.18,9.59,6.35,3.56,0.68
Fairbanks Soil & Water Conservation District,3839,5,gfdl,2,1106.28,4.94,0.0,13.36,0.12,4.61,8.8,10.52,6.73,3.82,0.96
Fairbanks Soil & Water Conservation District,3842,5,ccsm,0,800.32,3.6,0.0,10.39,0.02,2.05,6.41,8.49,5.8,2.65,0.38
Fairbanks Soil & Water Conservation District,3842,5,ccsm,1,872.31,3.89,0.0,13.71,0.0,2.19,7.23,9.03,5.85,3.0,0.52
Fairbanks Soil & Water Conservation District,3842,5,ccsm,2,1002.27,4.47,0.0,14.4,0.01,2.86,8.61,10.04,6.66,3.43,0.58
Fairbanks Soil & Water Conservation District,3842,5,gfdl,0,800.32,3.6,0.0,10.39,0.02,2.05,6.41,8.49,5.8,2.65,0.38
Fairbanks Soil & Water Conservation District,3842,5,gfdl,1,872.15,3.89,0.0,9.99,0.02,2.68,7.23,8.78,5.82,3.06,0.44
Fairbanks Soil & Water Conservation District,3842,5,gfdl,2,977.05,4.36,0.0,12.26,0.04,3.8,7.78,9.63,6.19,3.28,0.64
Fairbanks Soil & Water Conservation District,3845,5,ccsm,0,897.27,4.06,0.0,11.2,0.07,2.71,7.15,9.1,6.25,3.1,0.64
Fairbanks Soil & Water Conservation District,3845,5,ccsm,1,969.35,4.33,0.0,14.56,0.02,2.87,7.96,9.63,6.28,3.42,0.77
Fairbanks Soil & Water Conservation District,3845,5,ccsm,2,1104.69,4.93,0.0,17.69,0.05,3.54,9.37,10.7,7.12,3.86,0.86
Fairbanks Soil & Water Conservation District,3845,5,gfdl,0,897.27,4.06,0.0,11.2,0.07,2.71,7.15,9.1,6.25,3.1,0.64
Fairbanks Soil & Water Conservation District,3845,5,gfdl,1,969.33,4.33,0.0,10.72,0.06,3.33,7.96,9.4,6.26,3.49,0.68
Fairbanks Soil & Water Conservation District,3845,5,gfdl,2,1079.52,4.82,0.0,13.07,0.1,4.45,8.56,10.26,6.67,3.72,0.94
Fairbanks Soil & Water Conservation District,3846,4,ccsm,0,704.49,3.17,0.0,9.5,0.0,1.51,5.63,7.81,5.32,2.26,0.2
Fairbanks Soil & Water Conservation District,3846,4,ccsm,1,773.76,3.45,0.0,12.66,0.0,1.62,6.39,8.33,5.39,2.59,0.34
Fairbanks Soil & Water Conservation District,3846,4,ccsm,2,897.46,4.01,0.0,14.81,0.0,2.21,7.67,9.36,6.16,3.03,0.38
Fairbanks Soil & Water Conservation District,3846,4,gfdl,0,704.49,3.17,0.0,9.5,0.0,1.51,5.63,7.81,5.32,2.26,0.2
Fairbanks Soil & Water Conservation District,3846,4,gfdl,1,775.37,3.46,0.0,9.05,0.01,2.11,6.42,8.08,5.38,2.62,0.26
Fairbanks Soil & Water Conservation District,3846,4,gfdl,2,873.2,3.9,0.0,11.31,0.01,3.19,6.94,8.89,5.72,2.83,0.42
Fairbanks Soil & Water Conservation District,3860,5,ccsm,0,1359.19,6.23,0.28,14.4,1.92,5.7,10.39,11.75,8.14,4.91,2.32
Fairbanks Soil & Water Conservation District,3860,5,ccsm,1,1467.04,6.55,0.2,17.54,1.88,5.83,11.42,12.21,8.11,5.25,2.36
Fairbanks Soil & Water Conservation District,3860,5,ccsm,2,1598.61,7.14,0.17,17.95,1.85,6.66,12.68,13.2,8.99,5.66,2.5
Fairbanks Soil & Water Conservation District,3860,5,gfdl,0,1359.19,6.23,0.28,14.4,1.92,5.7,10.39,11.75,8.14,4.91,2.32
Fairbanks Soil & Water Conservation District,3860,5,gfdl,1,1466.45,6.55,0.21,14.48,1.87,6.25,11.34,12.01,8.21,5.35,2.32
Fairbanks Soil & Water Conservation District,3860,5,gfdl,2,1596.43,7.13,0.17,16.55,1.91,7.42,12.16,13.15,8.58,5.64,2.62
Fairbanks Soil & Water Conservation District,3878,5,ccsm,0,1376.31,6.34,0.26,14.84,1.91,5.81,10.65,11.94,8.22,4.94,2.34
Fairbanks Soil & Water Conservation District,3878,5,ccsm,1,1490.63,6.65,0.2,18.25,1.9,5.93,11.76,12.43,8.16,5.28,2.36
Fairbanks Soil & Water Conservation District,3878,5,ccsm,2,1628.1,7.27,0.18,18.52,1.86,6.78,13.05,13.47,9.11,5.69,2.5
Fairbanks Soil & Water Conservation District,3878,5,gfdl,0,1376.31,6.34,0.26,14.84,1.91,5.81,10.65,11.94,8.22,4.94,2.34
Fairbanks Soil & Water Conservation District,3878,5,gfdl,1,1487.91,6.64,0.23,14.79,1.86,6.31,11.6,12.24,8.3,5.39,2.32
Fairbanks Soil & Water Conservation District,3878,5,gfdl,2,1629.27,7.27,0.17,17.48,1.9,7.59,12.55,13.48,8.69,5.68,2.62
Fairbanks Soil & Water Conservation District,3880,5,ccsm,0,1367.02,6.23,0.16,14.52,1.82,5.69,10.44,11.8,8.13,4.87,2.25
Fairbanks Soil & Water Conservation District,3880,5,ccsm,1,1462.91,6.53,0.1,17.86,1.8,5.79,11.49,12.25,8.07,5.23,2.31
Fairbanks Soil & Water Conservation District,3880,5,ccsm,2,1597.35,7.13,0.07,18.26,1.76,6.63,12.74,13.27,9.02,5.63,2.45
Fairbanks Soil & Water Conservation District,3880,5,gfdl,0,1367.02,6.23,0.16,14.52,1.82,5.69,10.44,11.8,8.13,4.87,2.25
Fairbanks Soil & Water Conservation District,3880,5,gfdl,1,1460.15,6.52,0.11,14.57,1.76,6.17,11.37,12.07,8.2,5.3,2.26
Fairbanks Soil & Water Conservation District,3880,5,gfdl,2,1597.76,7.13,0.07,16.94,1.8,7.41,12.27,13.27,8.6,5.59,2.56
Fairbanks Soil & Water Conservation District,3888,5,ccsm,0,632.62,2.86,0.0,8.92,0.0,1.12,4.99,7.33,4.96,1.91,0.1
Fairbanks Soil & Water Conservation District,3888,5,ccsm,1,698.43,3.12,0.0,11.99,0.0,1.23,5.73,7.86,5.02,2.22,0.19
Fairbanks Soil & Water Conservation District,3888,5,ccsm,2,818.98,3.66,0.0,13.22,0.0,1.74,7.03,8.81,5.79,2.65,0.23
Fairbanks Soil & Water Conservation District,3888,5,gfdl,0,632.62,2.86,0.0,8.92,0.0,1.12,4.99,7.33,4.96,1.91,0.1
Fairbanks Soil & Water Conservation District,3888,5,gfdl,1,700.39,3.13,0.0,8.62,0.0,1.62,5.8,7.63,4.99,2.27,0.14
Fairbanks Soil & Water Conservation District,3888,5,gfdl,2,795.09,3.55,0.0,10.67,0.0,2.63,6.32,8.41,5.35,2.46,0.29
Fairbanks Soil & Water Conservation District,3890,5,ccsm,0,1329.01,6.0,0.0,14.31,1.58,5.4,10.11,11.52,7.92,4.72,2.08
Fairbanks Soil & Water Conservation District,3890,5,ccsm,1,1409.33,6.29,0.0,17.53,1.54,5.54,11.1,11.96,7.92,5.02,2.13
Fairbanks Soil & Water Conservation District,3890,5,ccsm,2,1544.73,6.9,0.0,17.95,1.5,6.38,12.38,13.02,8.84,5.44,2.27
Fairbanks Soil & Water Conservation District,3890,5,gfdl,0,1329.01,6.0,0.0,14.31,1.58,5.4,10.11,11.52,7.92,4.72,2.08
Fairbanks Soil & Water Conservation District,3890,5,gfdl,1,1407.31,6.28,0.0,13.95,1.52,5.91,11.01,11.85,7.99,5.11,2.09
Fairbanks Soil & Water Conservation District,3890,5,gfdl,2,1546.36,6.9,0.0,16.39,1.54,7.16,11.91,13.0,8.42,5.4,2.41
Fairbanks Soil & Water Conservation District,3894,4,ccsm,0,1383.17,6.29,0.34,14.6,1.95,5.75,10.22,11.72,8.18,5.06,2.41
Fairbanks Soil & Water Conservation District,3894,4,ccsm,1,1470.38,6.56,0.27,18.52,1.97,5.82,11.17,12.2,8.2,5.33,2.51
Fairbanks Soil & Water Conservation District,3894,4,ccsm,2,1600.52,7.15,0.22,18.0,1.96,6.64,12.4,13.14,9.05,5.75,2.68
Fairbanks Soil & Water Conservation District,3894,4,gfdl,0,1383.17,6.29,0.34,14.6,1.95,5.75,10.22,11.72,8.18,5.06,2.41
Fairbanks Soil & Water Conservation District,3894,4,gfdl,1,1468.81,6.56,0.27,13.83,1.92,6.24,11.13,11.96,8.25,5.46,2.44
Fairbanks Soil & Water Conservation District,3894,4,gfdl,2,1606.74,7.17,0.22,16.54,1.97,7.45,12.01,13.13,8.68,5.73,2.8
Fairbanks Soil & Water Conservation District,3895,5,ccsm,0,1367.29,6.3,0.27,14.63,1.92,5.78,10.53,11.85,8.19,4.93,2.34
Fairbanks Soil & Water Conservation District,3895,5,ccsm,1,1479.89,6.61,0.2,17.91,1.89,5.88,11.6,12.33,8.13,5.27,2.36
Fairbanks Soil & Water Conservation District,3895,5,ccsm,2,1614.66,7.21,0.18,18.25,1.86,6.72,12.87,13.35,9.06,5.68,2.5
Fairbanks Soil & Water Conservation District,3895,5,gfdl,0,1367.29,6.3,0.27,14.63,1.92,5.78,10.53,11.85,8.19,4.93,2.34
Fairbanks Soil & Water Conservation District,3895,5,gfdl,1,1478.04,6.6,0.22,14.65,1.87,6.28,11.48,12.13,8.26,5.37,2.32
Fairbanks Soil & Water Conservation District,3895,5,gfdl,2,1614.19,7.21,0.17,17.09,1.9,7.51,12.37,13.33,8.64,5.66,2.62
Fairbanks Soil & Water Conservation District,3898,5,ccsm,0,1160.67,5.39,0.0,13.03,1.03,4.69,8.98,10.58,7.45,4.33,1.7
